FANN_KEY;FDIP_CODE;FGRA_CODE;FHAB_NIVEAU;MPAR_CODE;FORMATION;FSPN_KEY;MIN_HEURES_PRESENTIEL;MAX_HEURES_PRESENTIEL;MIN_HEURES_PRESENTIEL_EQTD;MAX_HEURES_PRESENTIEL_EQTD;MOY_HEURES_PRESENTIEL;MOY_HEURES_EQTD_PRESENTIEL;MOY_HP_FORMATION;MOY_HP_FORMATION_T5T7;MOY_HP_EQTD_FORMATION;MOY_HP_EQTD_FORMATION_T5T7;MIN_HP_PARCOURS;MAX_HP_PARCOURS;MIN_HP_PARCOURS_1;MAX_HP_PARCOURS_1;MIN_HP_NIVEAU;MAX_HP_NIVEAU;MIN_HP_FORMATION;MAX_HP_FORMATION;MIN_HP_EQTD_NIVEAU;MAX_HP_EQTD_NIVEAU;MIN_HP_EQTD_FORMATION;MAX_HP_EQTD_FORMATION
2021;1000437;DEUS;1;1;GEOSCIENCES ;663;643;643;702.33;702.33;643;702.33;1289;1289;1369.5;1369.5;643;643;643;643;643;643;1289;1289;702.33;702.33;1369.5;1369.5
2021;1000437;DEUS;2;1;GEOSCIENCES ;663;646;646;667.17;667.17;646;667.17;1289;1289;1369.5;1369.5;646;646;646;646;646;646;1289;1289;667.17;667.17;1369.5;1369.5
2021;9010040;DU;1;1;CGE ;872;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156
2021;9010334;DU;1;1;Enseigner dans le1er degré ;714;656;656;754;754;656;754;1716;1716;1954;1954;656;656;656;656;656;656;1716;1716;754;754;1954;1954
2021;9010334;DU;2;1;Enseigner dans le1er degré ;714;602;602;679;679;602;679;1716;1716;1954;1954;602;602;602;602;602;602;1716;1716;679;679;1954;1954
2021;9010334;DU;3;1;Enseigner dans le1er degré ;714;458;458;521;521;458;521;1716;1716;1954;1954;458;458;458;458;458;458;1716;1716;521;521;1954;1954
2021;9010136;DU;1;1;ExpJud suite;820;72;72;108;108;72;108;72;72;108;108;72;72;72;72;72;72;72;72;108;108;108;108
2021;9010007;DU;1;1;MEDCCT ;859;96;96;128;128;96;128;96;96;128;128;96;96;96;96;96;96;96;96;128;128;128;128
2021;9010038;DU;1;1;MEE PE ;865;401;401;387.67;387.67;401;387.67;401;401;387.67;387.67;401;401;401;401;401;401;401;401;387.67;387.67;387.67;387.67
2021;9010006;DU;1;1;PRD suite;818;234;234;307;307;234;307;234;234;307;307;234;234;234;234;234;234;234;234;307;307;307;307
2021;9010036;DU;1;1;PROIMM ;693;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140
2021;2x00008;L;1;1;Droit-TREC5 ;737;342;562;467.67;773.67;452;620.67;1461;1461;2011.5;2011.5;562;562;342;562;562;562;1428;1494;773.67;773.67;1966;2057
2021;2x00008;L;2;1;Droit-TREC5 ;737;452;624;626;862;538;744;1461;1461;2011.5;2011.5;624;624;452;624;624;624;1428;1494;862;862;1966;2057
